Paket,Startzeit,Endzeit,Data,
159,0.359547861804188,0.359808278470855,191,
160,0.360551893775792,0.360812310442459,239,
161,0.361548757747599,0.361809174414265,239,
162,0.362566741718808,0.362827158385475,1,
163,0.362868693710269,0.363129110376935,0,
164,0.363170645701729,0.363431062368395,7,
165,0.364520149663562,0.364780566330229,0,
166,0.465545554806369,0.465805971473035,191,
167,0.466556370777781,0.466816787444447,239,
168,0.467545298749812,0.467805715416478,239,
169,0.468548178721448,0.468808595388115,191,
170,0.469545170693252,0.469805587359918,239,
171,0.470559058664577,0.470819475331243,239,
172,0.471545042636691,0.471805459303358,191,
173,0.472548946608299,0.472809363274965,239,
174,0.473545938580102,0.473806355246769,191,
175,0.474558802551456,0.474819219218123,239,
176,0.475544786523571,0.475805203190237,239,
177,0.476548690495179,0.476809107161845,191,
178,0.477545682466982,0.477806099133648,239,
179,0.47855662643839,0.478817043105057,239,
180,0.47954453041045,0.479804947077117,191,
181,0.480548562382054,0.480808979048721,239,
182,0.481545426353861,0.481805843020528,191,
183,0.482557394325241,0.482817810991907,239,
184,0.483545298297301,0.483805714963967,239,
185,0.485025234255446,0.485285650922112,191,
186,0.486597202210987,0.486857618877654,239,
187,0.48754504218418,0.487805458850847,239,
188,0.488548050155813,0.48880846682248,191,
189,0.489545042127617,0.489805458794283,239,
190,0.490556882099,0.490817298765666,191,
191,0.491544914071056,0.491805330737723,239,
192,0.492547794042693,0.492808210709359,239,
193,0.493544786014496,0.493805202681163,191,
194,0.494555729985905,0.494816146652571,239,
195,0.495544657957936,0.495805074624602,239,
196,0.496548561929544,0.49680897859621,191,
197,0.497545553901347,0.497805970568013,239,
198,0.498556497872755,0.498816914539422,191,
199,0.499545425844786,0.499805842511453,239,
200,0.500547409816448,0.500807826483115,239,
201,0.501544273788255,0.501804690454922,191,
202,0.502558289759577,0.502818706426243,239,
203,0.503545169731666,0.503805586398332,239,
204,0.504548177703299,0.504808594369965,191,
205,0.505544017675135,0.505804434341801,239,
206,0.506557009646485,0.506817426313152,191,
207,0.507561937618064,0.50782235428473,239,
208,0.508547921590178,0.508808338256845,239,
209,0.509543761562014,0.509804178228681,191,
210,0.510555729533394,0.51081614620006,239,
211,0.51154376150545,0.511804178172117,239,
212,0.512547665477058,0.512808082143724,191,
213,0.513544529448865,0.513804946115531,239,
214,0.514556497420244,0.514816914086911,191,
215,0.515544529392301,0.515804946058967,239,
216,0.516547409363938,0.516807826030604,239,
217,0.517552337335516,0.517812754002183,1,
218,0.517854289326976,0.518114705993643,0,
219,0.518156369318433,0.518416785985099,7,
220,0.519511121280118,0.519771537946784,0,
221,0.620544718422693,0.620805135089359,191,
222,0.621541582394499,0.621801999061166,239,
223,0.622552526365908,0.622812943032574,239,
224,0.623541454337939,0.623801871004606,191,
225,0.624545358309547,0.624805774976213,239,
226,0.62554235028135,0.625802766948016,239,
227,0.626553294252759,0.626813710919425,191,
228,0.627541198224819,0.627801614891485,239,
229,0.628544078196455,0.628804494863122,191,
230,0.629541070168258,0.629801486834925,239,
231,0.630554958139584,0.63081537480625,239,
232,0.631541966111669,0.631802382778336,191,
233,0.632544846083306,0.632805262749972,239,
234,0.633541838055109,0.633802254721775,239,
235,0.634553806026489,0.634814222693155,191,
236,0.635540685998578,0.635801102665244,239,
237,0.637039693956183,0.637300110622849,191,
238,0.638609485911786,0.638869902578453,239,
239,0.639541453885428,0.639801870552095,239,
240,0.640545357857036,0.640805774523702,191,
241,0.641541325828868,0.641801742495534,239,
242,0.642554317800219,0.642814734466885,239,
243,0.643541197772308,0.643801614438974,191,
244,0.644544205743941,0.644804622410607,239,
245,0.645541197715744,0.64580161438241,191,
246,0.646552141687152,0.646812558353819,239,
247,0.647541069659184,0.64780148632585,239,
248,0.648544973630791,0.648805390297458,191,
249,0.649540941602623,0.64980135826929,239,
250,0.650551885574032,0.650812302240698,239,
251,0.651540813546063,0.65180123021273,191,
252,0.6525436935177,0.652804110184366,239,
253,0.653540685489503,0.653801102156169,191,
254,0.654552653460883,0.654813070127549,239,
255,0.655541581432914,0.65580199809958,239,
256,0.65654446140455,0.656804878071217,191,
257,0.657541453376354,0.65780187004302,239,
258,0.658552397347762,0.658812814014428,239,
